top - 17:56:47 up 204 days,  9:44,  0 users,  load average: 24.02, 24.06, 22.04
Tasks: 886 total,  25 running, 861 sleeping,   0 stopped,   0 zombie
Cpu(s): 66.9%us,  2.0%sy,  0.0%ni, 31.0%id,  0.1%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:  132170692k total, 41202688k used, 90968004k free,   226444k buffers
Swap:  9775548k total,     8848k used,  9766700k free, 29034344k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
  103 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/4           
  104 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/5           
  105 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/6           
  106 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/7           
  107 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/8           
  108 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/9           
  109 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/10          
  110 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/11          
  111 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/12          
  112 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/13          
  113 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/14          
  114 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/15          
  115 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/16          
  116 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/17          
  117 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/18          
  118 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/19          
  119 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/20          
  120 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/21          
  121 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/22          
  122 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/23          
  123 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/0      
  124 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/1      
  125 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/2      
  126 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/3      
  127 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/4      
  128 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/5      
  129 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/6      
  130 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/7      
  131 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/8      
  132 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/9      
  133 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/10     
  134 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/11     
  135 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/12     
  136 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/13     
  137 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/14     
  138 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/15     
  139 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/16     
  140 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/17     
  141 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/18     
  142 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/19     
  143 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/20     
  144 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/21     
  145 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/22     
  146 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/23     
  147 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef    
  148 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef    
  149 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef    
