#---it----------t---------itype-iproc---l-----m-----n-------x------------y------------z-----------rho---------rhom----------TT-----------EE----------Ekin----------Ecr--------t_sedov------radius------site_Nsol------maxTT------t_interval----SN_rate--
     10490  0.30014E-01     2    14     6    21     5 -0.70000E-01  0.70000E-01  0.60000E-02  0.37067E+01  0.33696E+01  0.93729E+01  0.16168E+00  0.24971E-02  0.00000E+00  0.29846E-03  0.20000E-01  0.27917E+04  0.73497E+04  0.12116E-02  0.13024E-02
     10902  0.31229E-01     2     8     7    13    36 -0.66000E-01 -0.42000E-01 -0.10000E-01  0.45979E+00  0.44592E+00  0.18626E+03  0.17862E+00  0.00000E+00  0.00000E+00  0.10857E-03  0.20000E-01  0.36943E+03  0.12296E+05  0.18721E-02  0.13024E-02
     11458  0.33106E-01     2     4    11    14    15 -0.50000E-01 -0.38000E-01 -0.23400E+00  0.76470E-01  0.77066E-01  0.31667E+03  0.19704E+00  0.37253E-08  0.00000E+00  0.11765E-03  0.29339E-01  0.20156E+03  0.22293E+05  0.39983E-02  0.13024E-02
     12587  0.37108E-01     2     8    10    11     5 -0.54000E-01 -0.50000E-01 -0.13400E+00  0.14725E+00  0.15123E+00  0.23251E+03  0.20060E+00  0.00000E+00  0.00000E+00  0.92651E-04  0.23303E-01  0.19817E+03  0.25945E+05  0.24396E-02  0.13024E-02
     13419  0.39550E-01     2     9    22     5    31  0.74000E-01 -0.74000E-01 -0.30000E-01  0.36173E+00  0.32463E+00  0.19164E+03  0.14141E+00  0.00000E+00  0.00000E+00  0.92638E-04  0.20000E-01  0.26895E+03  0.14857E+05  0.63761E-04  0.13024E-02
     13599  0.39614E-01     2    15    23     6    34  0.78000E-01  0.10000E-01  0.12200E+00  0.19538E+00  0.11502E+00  0.25530E+03  0.11570E+00  0.00000E+00  0.00000E+00  0.10268E-03  0.25646E-01  0.20092E+03  0.13358E+05  0.14405E-02  0.13024E-02
     14071  0.41058E-01     2    13     5    13    12  0.60000E-02 -0.42000E-01  0.34000E-01  0.13785E+01  0.28851E+01  0.39531E+02  0.21260E+00  0.41799E-02  0.00000E+00  0.27618E-03  0.20000E-01  0.23903E+04  0.11560E+05  0.21002E-03  0.13024E-02
     14337  0.41268E-01     2    11    20    15    35  0.66000E-01  0.46000E-01 -0.14000E-01  0.11789E+02  0.75081E+01  0.29522E+01  0.21202E+00  0.12128E-02  0.00000E+00  0.44552E-03  0.20000E-01  0.62203E+04  0.32835E+04  0.60561E-03  0.13024E-02
     14635  0.41878E-01     2    15    20     9    27  0.66000E-01  0.22000E-01  0.94000E-01  0.12702E+00  0.14491E+00  0.24136E+03  0.21269E+00  0.00000E+00  0.00000E+00  0.94907E-04  0.23730E-01  0.20052E+03  0.26105E+05  0.37616E-02  0.13024E-02
     15922  0.45644E-01     2    11     9     4    16  0.22000E-01  0.20000E-02 -0.90000E-01  0.24490E+00  0.24442E+00  0.23161E+03  0.21269E+00  0.00000E+00  0.00000E+00  0.80383E-04  0.20000E-01  0.20249E+03  0.22293E+05  0.61687E-03  0.13024E-02
     16289  0.46261E-01     2    12     5     9     9 -0.74000E-01 -0.58000E-01  0.22000E-01  0.56865E+00  0.88835E+00  0.14952E+03  0.21221E+00  0.11245E-01  0.00000E+00  0.15325E-03  0.20000E-01  0.73598E+03  0.94527E+04  0.13157E-03  0.13024E-02
     16438  0.46394E-01     2    14     6    22    30 -0.70000E-01  0.74000E-01  0.10600E+00  0.18311E+00  0.19023E+00  0.26385E+03  0.21269E+00  0.00000E+00  0.00000E+00  0.86243E-04  0.21628E-01  0.19932E+03  0.23199E+05  0.28572E-02  0.13024E-02
