#---it-------t---------dt-------urms------orms------umax------omax--------oum--------uxm--------uym--------uzm-------ux2m------uy2m------uz2m-----Marms-----Mamax-------rhom-------rhomin------rhomax-----ugrhom------ekin------ethm------TTm------TTmin-----TTmax------gTmax----shockmax---taucmin---tauhmin---taufmin-----Hmax-----Hmax_ism---fviscmin---fviscmax---meshRemax---dtu-----dtnu---dtchi----dtHr-----dtFr-----dtb----dteta-----brms------jrms------bmax------jmax-------bxm--------bym--------bzm-----betamin---betamax----vArms-----vAmax-----ab_int-----jb_int---
   5000  0.0128939 4.452E-06 3.442E+00 8.006E+01 1.077E+01  1.154E+03  1.428E+00  1.639E-02 -2.348E-02  2.355E-01 5.716E-01 6.952E-01 1.058E+01 2.884E-01 1.284E+00 3.46680E-01 2.76571E-02 4.40360E+00  2.579E+01 2.905E+00 4.258E+01 2.346E+02 6.955E+00 4.219E+02  1.613E+04  1.567E-02 4.454E-04 7.189E-03 0.000E+00  1.391E+02  1.391E+02 -6.370E+03  6.677E+03  7.400E+01 0.08295 0.32923 0.21809  0.18080  0.01102 0.00026 0.00042 3.658E-03 4.234E-01 5.124E-02 6.361E+00  2.363E-07  4.146E-06 -8.870E-13 1.556E+04 1.326E+09 5.302E-03 4.682E-02 -1.494E-12 -5.010E-08
   5250  0.0138896 4.737E-07 3.555E+00 7.966E+01 2.284E+01  1.029E+03  1.135E+00  1.222E-02 -2.213E-02  2.921E-01 7.146E-01 6.785E-01 1.125E+01 3.001E-01 1.604E+00 3.46534E-01 2.86346E-02 5.56436E+00  3.080E+01 3.089E+00 4.671E+01 2.589E+02 5.294E+00 1.710E+04  1.946E+06  1.803E-02 1.184E-05 6.601E-03 0.000E+00  1.515E+02  1.515E+02 -1.090E+05  9.815E+04  6.373E+01 0.02199 0.04026 0.02669  0.87007  0.10417 0.00003 0.00004 3.890E-03 4.762E-01 6.486E-02 7.707E+00  3.093E-07  4.922E-06  1.777E-11 8.626E+03 1.805E+10 5.317E-03 5.611E-02 -8.685E-13 -2.720E-08
   5500  0.0144288 4.786E-06 3.739E+00 8.090E+01 1.511E+01  9.776E+02  5.766E-01  9.028E-03 -2.492E-02  3.389E-01 1.093E+00 9.675E-01 1.192E+01 3.136E-01 1.769E+00 3.46476E-01 1.35533E-03 6.16812E+00  3.391E+01 3.274E+00 4.133E+01 2.409E+02 4.705E+00 6.759E+02  5.914E+04  1.165E-02 3.579E-04 2.218E-04 0.000E+00  4.509E+03  2.164E+02 -4.068E+04  5.108E+04  5.790E+01 0.14833 0.26362 0.17425  0.45717  0.14926 0.00036 0.00045 4.035E-03 5.084E-01 7.291E-02 8.448E+00  3.768E-07  5.220E-06 -8.509E-13 6.720E+03 1.132E+09 5.327E-03 6.006E-02 -3.152E-13  4.084E-08
   5750  0.0153493 4.608E-06 3.673E+00 8.091E+01 8.791E+00  9.822E+02  4.970E-01  5.192E-03 -2.225E-02  3.877E-01 7.590E-01 6.731E-01 1.206E+01 3.180E-01 2.118E+00 3.46412E-01 2.87711E-02 7.23572E+00  3.654E+01 3.194E+00 4.003E+01 2.413E+02 3.975E+00 5.874E+02  1.848E+04  1.329E-02 3.302E-04 4.687E-03 0.000E+00  2.134E+02  2.070E+02 -2.100E+03  2.267E+03  5.327E+01 0.07671 0.28924 0.19139  0.16248  0.01373 0.00035 0.00043 4.307E-03 5.643E-01 8.712E-02 9.856E+00  4.946E-07  5.633E-06  5.050E-12 4.604E+03 1.140E+09 5.341E-03 6.082E-02  1.151E-12  4.074E-07
   6000  0.0166704 5.449E-06 3.713E+00 8.241E+01 8.141E+00  9.712E+02  9.632E-01  6.114E-03 -1.621E-02  4.244E-01 5.152E-01 4.985E-01 1.277E+01 3.218E-01 2.423E+00 3.46403E-01 2.96541E-02 8.92845E+00  3.913E+01 3.117E+00 3.871E+01 2.443E+02 3.456E+00 4.752E+02  1.793E+04  7.716E-03 3.035E-04 5.608E-03 0.000E+00  1.783E+02  1.778E+02 -1.644E+03  1.242E+03  5.553E+01 0.06814 0.19965 0.13140  0.22263  0.00690 0.00037 0.00051 4.741E-03 6.509E-01 1.052E-01 1.193E+01  6.284E-07  6.226E-06  9.707E-12 3.128E+03 1.064E+09 5.356E-03 5.467E-02 -7.766E-13  1.581E-06
   6250  0.0180190 5.377E-06 3.826E+00 8.529E+01 8.146E+00  9.728E+02  1.822E+00  9.121E-03 -1.181E-02  4.462E-01 3.847E-01 3.678E-01 1.388E+01 3.259E-01 2.638E+00 3.46494E-01 2.98722E-02 1.04403E+01  4.129E+01 3.044E+00 3.766E+01 2.484E+02 3.169E+00 4.127E+02  1.906E+04  8.165E-03 2.580E-04 2.149E-03 0.000E+00  4.653E+02  1.516E+02 -1.694E+03  1.328E+03  5.509E+01 0.06185 0.20831 0.13720  0.22206  0.00438 0.00042 0.00050 5.234E-03 7.482E-01 1.210E-01 1.450E+01  6.867E-07  6.855E-06  1.376E-11 2.319E+03 1.143E+09 5.382E-03 6.303E-02 -2.090E-11  2.305E-06
   6500  0.0189132 3.487E-07 3.948E+00 8.717E+01 1.813E+01  1.074E+03  2.298E+00  9.406E-03 -1.078E-02  4.622E-01 4.619E-01 4.330E-01 1.469E+01 3.253E-01 2.778E+00 3.46609E-01 2.98890E-02 1.13680E+01  4.263E+01 3.002E+00 4.091E+01 2.613E+02 3.041E+00 9.502E+03  1.398E+06  2.074E-02 8.714E-06 1.827E-03 0.000E+00  5.474E+02  1.314E+02 -6.388E+04  9.456E+04  5.170E+01 0.01221 0.03407 0.02260  0.96486  0.05960 0.00003 0.00003 5.606E-03 8.153E-01 1.304E-01 1.765E+01  7.846E-07  7.252E-06 -1.486E-12 2.039E+03 1.628E+10 5.411E-03 6.765E-02 -4.248E-11  1.591E-06
   6750  0.0190855 1.136E-06 4.673E+00 9.252E+01 6.102E+01  1.357E+03  1.798E+00  6.025E-03 -8.787E-03  4.840E-01 2.450E+00 2.387E+00 1.700E+01 3.294E-01 2.825E+00 3.46637E-01 2.99482E-02 1.15261E+01  4.451E+01 3.456E+00 4.109E+01 2.746E+02 3.019E+00 1.158E+04  1.604E+06  3.877E-02 2.811E-05 1.820E-03 0.000E+00  5.493E+02  1.294E+02 -2.770E+05  2.562E+05  5.172E+01 0.14082 0.20692 0.13759  0.38957  0.07181 0.00010 0.00011 5.687E-03 8.309E-01 1.321E-01 1.875E+01  8.071E-07  7.323E-06 -7.595E-12 1.991E+03 8.435E+09 5.419E-03 6.763E-02 -4.632E-11  1.325E-06
   7000  0.0196677 1.670E-06 4.240E+00 1.173E+02 2.612E+01  4.397E+03  6.871E-01 -1.631E-03  3.320E-03  5.179E-01 1.112E+00 9.573E-01 1.591E+01 3.219E-01 2.791E+00 3.46738E-01 1.17518E-03 1.19874E+01  4.574E+01 3.430E+00 4.170E+01 2.636E+02 2.961E+00 9.763E+02  1.177E+05  2.323E-02 6.971E-05 6.138E-04 0.000E+00  1.629E+03  7.210E+02 -1.034E+05  7.066E+04  5.258E+01 0.08834 0.18265 0.12124  1.00000  0.06685 0.00015 0.00016 5.981E-03 8.984E-01 1.418E-01 2.082E+01  8.785E-07  7.549E-06 -1.935E-12 2.219E+03 5.497E+09 5.458E-03 7.097E-02 -5.550E-11  3.021E-07
   7250  0.0202934 4.825E-07 4.152E+00 1.104E+02 3.033E+01  2.237E+03 -7.676E-01  3.249E-03  5.468E-03  5.276E-01 8.764E-01 7.754E-01 1.559E+01 3.238E-01 2.876E+00 3.46860E-01 1.42917E-02 1.24267E+01  4.310E+01 3.098E+00 4.494E+01 2.941E+02 2.908E+00 2.055E+04  3.432E+06  8.192E-02 1.206E-05 2.793E-04 0.000E+00  3.580E+03  2.186E+02 -8.370E+05  1.499E+06  5.421E+01 0.02150 0.18552 0.12353  0.95152  0.11655 0.00004 0.00005 6.247E-03 9.797E-01 1.432E-01 2.130E+01  9.433E-07  7.773E-06  1.506E-11 1.710E+03 4.587E+10 5.550E-03 6.986E-02 -5.599E-11 -1.193E-06
   7500  0.0206839 4.150E-06 4.550E+00 1.107E+02 2.729E+01  1.544E+03 -8.152E-01  4.700E-03  8.140E-03  5.088E-01 2.103E+00 1.898E+00 1.670E+01 3.404E-01 3.747E+00 3.46944E-01 4.32263E-03 1.26408E+01  4.406E+01 3.249E+00 3.797E+01 2.662E+02 2.882E+00 1.023E+03  7.873E+04  1.730E-02 1.756E-04 1.700E-03 0.000E+00  5.884E+02  2.833E+02 -3.423E+04  3.076E+04  1.358E+02 0.22146 0.33851 0.22437  0.38556  0.12298 0.00036 0.00039 6.390E-03 1.029E+00 1.460E-01 2.196E+01  9.805E-07  7.902E-06 -1.775E-11 1.589E+03 1.533E+09 5.626E-03 6.874E-02 -4.696E-11 -2.265E-06
