7928, 1.882637348883341, 0.002070587887777, 2.181692617653946e-18, 0.3159 
8.847601903872095e+01 1.158758409285965e-18 1.120474056772790e-02 6.556914659339193e-19 3.333333333333299e-01 
8.889885375434001e+01 1.164248427280180e-18 1.115188738812662e-02 6.557233114352331e-19 3.333333333333298e-01 
8.932370923444050e+01 1.169764682541506e-18 1.109930688049271e-02 6.431769510129392e-19 3.333333333333299e-01 
8.975059513643451e+01 1.175307300459526e-18 1.104697965705643e-02 6.427686762417750e-19 3.333333333333298e-01 
9.017952116388774e+01 1.180876407066212e-18 1.099489446861356e-02 6.375109447585547e-19 3.333333333333298e-01 
9.061049706674009e+01 1.186472128910711e-18 1.094305023514153e-02 6.315136219829191e-19 3.333333333333298e-01 
9.104353264152711e+01 1.192094593212042e-18 1.089144588047393e-02 6.300529466686309e-19 3.333333333333298e-01 
9.147863773160338e+01 1.197743927754383e-18 1.084008033329090e-02 6.262087168763179e-19 3.333333333333298e-01 
9.191582222736525e+01 1.203420260954107e-18 1.078895252650930e-02 6.203157278351679e-19 3.333333333333298e-01 
9.235509606647629e+01 1.209123721879864e-18 1.073806139712522e-02 6.206196316247052e-19 3.333333333333298e-01 
9.279646923409302e+01 1.214854440160251e-18 1.068740588705369e-02 6.213747789219846e-19 3.333333333333297e-01 
9.323995176309195e+01 1.220612546028032e-18 1.063698494272927e-02 6.155253270688113e-19 3.333333333333297e-01 
9.368555373429759e+01 1.226398170391273e-18 1.058679751449724e-02 6.149649769651724e-19 3.333333333333297e-01 
9.413328527671156e+01 1.232211444758932e-18 1.053684255728186e-02 6.224786663555102e-19 3.333333333333296e-01 
9.458315656774275e+01 1.238052501180025e-18 1.048711903109946e-02 6.166168887063928e-19 3.333333333333296e-01 
9.503517783343928e+01 1.243921472171628e-18 1.043762590163267e-02 6.108096769499431e-19 3.333333333333296e-01 
9.548935934871996e+01 1.249818492449222e-18 1.038836212586034e-02 6.050565302883310e-19 3.333333333333296e-01 
9.594571143760848e+01 1.255743694676494e-18 1.033935294579056e-02 5.993615203797369e-19 3.333333333333296e-01 
9.640424447346800e+01 1.261697213931887e-18 1.029057972248497e-02 5.937210403324629e-19 3.333333333333296e-01 
9.686496887923686e+01 1.267679185567982e-18 1.024203240667610e-02 5.928838545068148e-19 3.333333333333295e-01 
9.732789512766554e+01 1.273689745350093e-18 1.019370998830805e-02 5.883652890022891e-19 3.333333333333295e-01 
9.779303374155457e+01 1.279729030417585e-18 1.014561145572248e-02 5.828264726396594e-19 3.333333333333295e-01 
9.826039529399442e+01 1.285797177793820e-18 1.009773580767609e-02 5.843113654199972e-19 3.333333333333295e-01 
9.872999040860472e+01 1.291894325309338e-18 1.005008204585589e-02 5.892791444756215e-19 3.333333333333294e-01 
9.920182975977652e+01 1.298020611589920e-18 1.000264917504230e-02 5.887337829609956e-19 3.333333333333294e-01 
9.967592407291473e+01 1.304176175918040e-18 9.955436204229038e-03 5.785978802252376e-19 3.333333333333294e-01 
1.001522841246819e+02 1.310361158260672e-18 9.908442146420270e-03 5.725402137090638e-19 3.333333333333294e-01 
1.006309207432432e+02 1.316575699208728e-18 9.861666019099588e-03 5.761112566208608e-19 3.333333333333294e-01 
1.011118448085123e+02 1.322819939977661e-18 9.815106844217606e-03 5.680389466744495e-19 3.333333333333294e-01 
1.015950672523998e+02 1.329094022510964e-18 9.768763647425353e-03 5.676373126113147e-19 3.333333333333294e-01 
1.020805990590599e+02 1.335398089443679e-18 9.722635458367808e-03 5.662583904824639e-19 3.333333333333293e-01 
1.025684512651416e+02 1.341732284046324e-18 9.676721311100018e-03 5.565586597141443e-19 3.333333333333294e-01 
1.030586349600386e+02 1.348096750255610e-18 9.631040891575330e-03 5.657423172904225e-19 3.333333333333293e-01 
1.035511612861423e+02 1.354491633005472e-18 9.585584227757547e-03 5.519719967993790e-19 3.333333333333293e-01 
1.040460414390941e+02 1.360917077371993e-18 9.540338378463239e-03 5.623405129116314e-19 3.333333333333292e-01 
1.045432866680404e+02 1.367373229497323e-18 9.495302396068253e-03 5.529634416702723e-19 3.333333333333293e-01 
1.050429082758889e+02 1.373860236117707e-18 9.450475337668138e-03 5.453591395538914e-19 3.333333333333293e-01 
1.055449176195642e+02 1.380378244758052e-18 9.405856263722569e-03 5.463723870917176e-19 3.333333333333292e-01 
1.060493261102669e+02 1.386927403536720e-18 9.361444239412636e-03 5.475880199711990e-19 3.333333333333292e-01 
1.065561452137327e+02 1.393507861300040e-18 9.317238333711611e-03 5.421643126542031e-19 3.333333333333292e-01 
1.070653864504931e+02 1.400119767642814e-18 9.273237619264680e-03 5.366905944462015e-19 3.333333333333292e-01 
1.075770613961371e+02 1.406763272884490e-18 9.229441172565840e-03 5.360520315878747e-19 3.333333333333292e-01 
1.080911816815745e+02 1.413438528048804e-18 9.185848074101334e-03 5.339811663207336e-19 3.333333333333291e-01 
1.086077589933006e+02 1.420145684827672e-18 9.142457408584860e-03 5.289479943005272e-19 3.333333333333291e-01 
1.091268050736612e+02 1.426884895682026e-18 9.099268264307309e-03 5.255060225230275e-19 3.333333333333291e-01 
1.096483317211197e+02 1.433656313854738e-18 9.056279733077750e-03 5.281276623133851e-19 3.333333333333290e-01 
1.101723507905255e+02 1.440460093213753e-18 9.013490911225185e-03 5.234939578297114e-19 3.333333333333290e-01 
1.106988741933835e+02 1.447296388430540e-18 8.970913157362332e-03 5.269111259898052e-19 3.333333333333290e-01 
1.112279138981246e+02 1.454165354946503e-18 8.928550948912038e-03 5.221859001832050e-19 3.333333333333290e-01 
1.117594819303776e+02 1.461067148833335e-18 8.886385434499183e-03 5.209523171029901e-19 3.333333333333289e-01 
1.122935903732437e+02 1.468001927000531e-18 8.844415727917370e-03 5.133689573384966e-19 3.333333333333290e-01 
1.128302513675695e+02 1.474969847079263e-18 8.802640946883879e-03 5.075636480276109e-19 3.333333333333290e-01 
1.133694771122242e+02 1.481971067472217e-18 8.761060212743692e-03 5.055230972812052e-19 3.333333333333289e-01 
1.139112798643761e+02 1.489005747319139e-18 8.719672650684419e-03 5.047028386562322e-19 3.333333333333289e-01 
1.144556719397720e+02 1.496074046508770e-18 8.678477389668621e-03 5.059980937023302e-19 3.333333333333288e-01 
1.150026657130165e+02 1.503176124322051e-18 8.637473570230272e-03 5.052615913850481e-19 3.333333333333288e-01 
1.155522736178533e+02 1.510312144504935e-18 8.596660315244253e-03 5.004978712761190e-19 3.333333333333288e-01 
1.161045081474489e+02 1.517482270788729e-18 8.556036756212918e-03 4.983626141763894e-19 3.333333333333288e-01 
1.166593818546750e+02 1.524686661806936e-18 8.515602061356648e-03 4.991542222246345e-19 3.333333333333288e-01 
1.172169073523946e+02 1.531925483245568e-18 8.475355366952273e-03 4.944466789156042e-19 3.333333333333288e-01 
